ID;x;y;C;N;E;S;W
906;493059.5233;7661523.002;24;23;12;23;24
907;493054.6763;7661573.418;25;24;24;23;23
908;493050.0977;7661622.302;25;24;24;75;24
909;493044.5373;7661672.201;23;24;24;23;22
910;493040.5898;7661721.205;22;22;22;23;23
911;493035.4872;7661771.38;23;25;22;75;25
912;493030.1133;7661825.428;23;23;23;23;23
913;493025.7016;7661870.94;22;22;12;23;24
914;493020.6444;7661921.063;23;23;23;23;22
915;493015.9097;7661969.956;22;12;23;12;22
916;493010.8078;7662019.112;22;30;22;24;23
917;493007.9242;7662066.657;22;22;22;30;30
918;493001.698;7662118.167;24;22;22;22;24
919;492997.276;7662166.759;30;30;24;24;30
920;492992.4009;7662217.138;30;24;30;30;30
921;493228.988;7660286.126;75;71;25;75;25
922;493226.125;7660334.83;42;85;75;42;42
923;493222.2212;7660385.119;22;27;22;80;22
924;493212.081;7660433.871;43;85;75;71;43
925;493211.9586;7660484.007;22;21;21;22;22
926;493206.6644;7660533.296;25;25;27;25;25
927;493203.16;7660584.347;22;23;75;27;21
928;493198.1811;7660633.949;22;25;22;22;22
929;493193.2233;7660683.034;32;23;31;85;22
930;493190.6602;7660733.353;22;24;12;23;22
931;493183.467;7660784.25;22;22;23;31;31
932;493180.133;7660833.525;22;24;24;23;24
933;493174.8805;7660882.485;25;80;25;25;22
934;493168.8021;7660932.693;24;24;23;23;24
935;493165.9196;7660982.568;25;22;22;22;22
936;493161.0485;7661032.366;24;24;24;24;24
937;493155.048;7661082.235;22;22;23;23;23
938;493149.4588;7661129.752;22;24;22;24;24
939;493146.296;7661181.94;25;23;23;24;24
940;493143.2364;7661232.42;22;22;25;23;24
941;493136.6019;7661280.303;32;32;32;31;31
942;493131.3885;7661329.553;89;89;89;89;89
943;493127.5209;7661379.531;23;22;24;24;22
944;493123.5787;7661428.077;23;24;23;23;24
945;493118.9591;7661479.713;25;25;23;23;23
946;493112.5856;7661529.452;22;24;12;22;23
947;493106.4243;7661579.003;22;22;23;23;75
948;493103.0934;7661627.614;25;23;25;22;23
949;493097.7213;7661677.557;22;22;25;22;23
950;493092.3014;7661728.144;25;23;24;25;22
951;493088.6279;7661776.784;25;25;25;24;25
952;493083.1375;7661826.315;23;23;22;23;12
953;493080.4943;7661876.675;22;30;30;30;22
954;493070.875;7661925.402;23;23;30;22;30
955;493067.2245;7661977.191;30;30;30;30;30
956;493061.2126;7662027.593;12;22;12;30;30
957;493056.7528;7662074.069;81;25;24;24;24
958;493052.3583;7662123.857;23;22;23;23;23
959;493047.7775;7662175.473;23;30;30;30;23
960;493040.9445;7662224.311;89;89;23;23;89
961;493283.5397;7660291.576;85;85;85;71;85
962;493278.4709;7660345.731;75;21;71;21;27
963;493271.4411;7660390.705;43;27;43;43;71
964;493268.0746;7660440.332;27;27;27;22;23
965;493264.1147;7660492.639;22;25;25;23;25
966;493257.7722;7660539.797;22;85;85;22;85
967;493251.6386;7660587.25;80;80;23;85;85
968;493247.2938;7660635.47;12;23;80;23;22
969;493242.5984;7660683.876;85;85;85;23;85
970;493238.6888;7660734.228;23;23;12;23;12
971;493232.698;7660784.236;23;23;24;23;31
972;493226.6606;7660834.556;31;31;85;31;85
973;493222.5985;7660883.839;23;12;12;32;12
974;493217.3212;7660935.777;31;30;31;29;31
975;493212.6712;7660982.524;22;23;23;22;23
976;493208.572;7661032.16;23;30;30;81;22
977;493203.6774;7661083.082;25;25;25;23;23
978;493198.4212;7661133.392;23;23;23;23;23
979;493194.3672;7661182.349;31;80;12;80;80
980;493189.4721;7661233.929;31;29;24;31;23
981;493183.8164;7661281.401;22;24;24;29;22
982;493180.1354;7661329.703;22;24;25;23;25
983;493174.7005;7661380.411;22;31;24;23;21
984;493169.2011;7661430.693;31;12;85;12;31
985;493163.7692;7661480.447;23;23;23;23;30
986;493161.0329;7661529.68;30;42;12;30;42
987;493153.7835;7661577.746;83;83;30;83;83
988;493149.8452;7661628.405;22;24;23;22;25
989;493145.6655;7661677.722;25;22;25;25;22
990;493141.0348;7661726.937;25;25;25;25;25
991;493137.0826;7661777.37;22;12;25;22;25
992;493131.5295;7661827.993;24;25;25;22;22
993;493126.6971;7661876.789;22;22;24;25;23
994;493121.5511;7661925.975;23;24;23;23;23
995;493117.5377;7661976.565;25;25;24;23;23
996;493116.0512;7662027.163;24;24;24;23;24
997;493107.2312;7662075.995;25;30;30;25;30
998;493102.1177;7662125.749;25;22;30;22;30
999;493096.3292;7662175.881;22;22;30;25;22
1000;493091.837;7662226.236;25;24;24;24;24
1001;493332.6645;7660294.194;27;27;27;21;27
1002;493327.9654;7660348.808;78;75;71;75;75
1003;493321.4075;7660393.137;23;21;27;27;27
1004;493316.0694;7660443.015;31;83;85;31;75
1005;493313.2603;7660492.057;23;31;31;31;85
1006;493306.3723;7660542.051;25;30;25;85;85
1007;493303.4808;7660592.989;30;30;22;30;30
1008;493297.4043;7660641.498;30;30;22;23;75
1009;493294.3726;7660692.565;22;22;23;22;22
1010;493289.1924;7660740.457;25;30;24;23;25
1011;493283.4092;7660792.225;25;30;24;23;25
